Shot Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),mv,scale,scale_manual
1,1,00:00.0,0,64,00:02.1,2.133,64,00:02.1,2.133,Motion,Full Shot,Extreme Close Shot
2,66,00:02.2,2.167,128,00:04.3,4.267,63,00:02.1,2.1,Static,Extreme Close Shot,Full Shot
3,130,00:04.3,4.3,192,00:06.4,6.4,63,00:02.1,2.1,Static,Extreme Close Shot,Medium Shot
4,194,00:06.4,6.433,275,00:09.2,9.167,82,00:02.7,2.733,Motion,Extreme Close Shot,Close Shot
5,277,00:09.2,9.2,345,00:11.5,11.5,69,00:02.3,2.3,Static,Extreme Close Shot,Medium Shot
6,347,00:11.5,11.533,397,00:13.2,13.233,51,00:01.7,1.7,Static,Extreme Close Shot,Close Shot
7,399,00:13.3,13.267,465,00:15.5,15.5,67,00:02.2,2.233,Static,Extreme Close Shot,Medium Shot
8,467,00:15.5,15.533,500,00:16.7,16.667,34,00:01.1,1.133,Static,Extreme Close Shot,Medium Shot
9,502,00:16.7,16.7,577,00:19.2,19.233,76,00:02.5,2.533,Static,Extreme Close Shot,Medium Shot
10,579,00:19.3,19.267,741,00:24.7,24.7,163,00:05.4,5.433,Static,Extreme Close Shot,Close Shot
11,743,00:24.7,24.733,880,00:29.3,29.333,138,00:04.6,4.6,Static,Extreme Close Shot,Close Shot
12,882,00:29.4,29.367,942,00:31.4,31.4,61,00:02.0,2.033,Static,Extreme Close Shot,Medium Shot
13,944,00:31.4,31.433,1027,00:34.2,34.233,84,00:02.8,2.8,Static,Extreme Close Shot,Medium Shot
14,1029,00:34.3,34.267,1078,00:35.9,35.933,50,00:01.7,1.667,Static,Extreme Close Shot,Close Shot
15,1080,00:36.0,35.967,1112,00:37.1,37.067,33,00:01.1,1.1,Static,Extreme Close Shot,Close Shot
16,1114,00:37.1,37.1,1171,00:39.0,39.033,58,00:01.9,1.933,Static,Extreme Close Shot,Medium Shot
17,1173,00:39.1,39.067,1252,00:41.7,41.733,80,00:02.7,2.667,Static,Extreme Close Shot,Close Shot
18,1254,00:41.8,41.767,1338,00:44.6,44.6,85,00:02.8,2.833,Static,Extreme Close Shot,Medium Shot
19,1340,00:44.6,44.633,1429,00:47.6,47.633,90,00:03.0,3,Static,Extreme Close Shot,Close Shot
20,1431,00:47.7,47.667,1486,00:49.5,49.533,56,00:01.9,1.867,Static,Extreme Close Shot,Medium Shot
21,1488,00:49.6,49.567,1535,00:51.2,51.167,48,00:01.6,1.6,Static,Extreme Close Shot,Medium Shot
22,1537,00:51.2,51.2,1630,00:54.3,54.333,94,00:03.1,3.133,Static,Extreme Close Shot,Close Shot
23,1632,00:54.4,54.367,1696,00:56.5,56.533,65,00:02.2,2.167,Static,Medium Shot,Close Shot
24,1698,00:56.6,56.567,1768,00:58.9,58.933,71,00:02.4,2.367,Static,Medium Shot,Close Shot
25,1770,00:59.0,58.967,1835,01:01.2,61.167,66,00:02.2,2.2,Static,Full Shot,Close Shot
26,1837,01:01.2,61.2,1897,01:03.2,63.233,61,00:02.0,2.033,Static,Close Shot,Extreme Close Shot
27,1899,01:03.3,63.267,1928,01:04.3,64.267,30,00:01.0,1,Static,Close Shot,Extreme Close Shot
28,1930,01:04.3,64.3,2006,01:06.9,66.867,77,00:02.6,2.567,Static,Extreme Close Shot,Medium Shot
29,2008,01:06.9,66.9,2030,01:07.7,67.667,23,00:00.8,0.767,Static,Extreme Close Shot,Close Shot
30,2032,01:07.7,67.7,2100,01:10.0,70,69,00:02.3,2.3,Static,Extreme Close Shot,Extreme Close Shot
31,2102,01:10.0,70.033,2158,01:11.9,71.933,57,00:01.9,1.9,Static,Extreme Close Shot,Close Shot
32,2160,01:12.0,71.967,2223,01:14.1,74.1,64,00:02.1,2.133,Static,Extreme Close Shot,Extreme Close Shot
33,2225,01:14.1,74.133,2331,01:17.7,77.7,107,00:03.6,3.567,Static,Extreme Close Shot,Close Shot
34,2333,01:17.7,77.733,2412,01:20.4,80.4,80,00:02.7,2.667,Static,Extreme Close Shot,Extreme Close Shot
35,2414,01:20.4,80.433,2480,01:22.7,82.667,67,00:02.2,2.233,Static,Extreme Close Shot,Close Shot
36,2482,01:22.7,82.7,2570,01:25.7,85.667,89,00:03.0,2.967,Static,Extreme Close Shot,Extreme Close Shot
37,2572,01:25.7,85.7,2693,01:29.8,89.767,122,00:04.1,4.067,Static,Close Shot,Medium Shot
38,2695,01:29.8,89.8,2729,01:31.0,90.967,35,00:01.2,1.167,Static,Extreme Close Shot,Extreme Close Shot
39,2731,01:31.0,91,2774,01:32.5,92.467,44,00:01.5,1.467,Static,Extreme Close Shot,Close Shot
40,2776,01:32.5,92.5,2830,01:34.3,94.333,55,00:01.8,1.833,Motion,Extreme Close Shot,Extreme Close Shot
41,2832,01:34.4,94.367,2892,01:36.4,96.4,61,00:02.0,2.033,Static,Extreme Close Shot,Medium Shot
42,2894,01:36.4,96.433,2928,01:37.6,97.6,35,00:01.2,1.167,Static,Extreme Close Shot,Close Shot
43,2930,01:37.6,97.633,2959,01:38.6,98.633,30,00:01.0,1,Static,Extreme Close Shot,Extreme Close Shot
44,2961,01:38.7,98.667,3035,01:41.2,101.167,75,00:02.5,2.5,Static,Extreme Close Shot,Close Shot
45,3037,01:41.2,101.2,3093,01:43.1,103.1,57,00:01.9,1.9,Static,Full Shot,Extreme Close Shot
46,3095,01:43.1,103.133,3150,01:45.0,105,56,00:01.9,1.867,Static,Extreme Close Shot,Close Shot
47,3152,01:45.0,105.033,3232,01:47.7,107.733,81,00:02.7,2.7,Motion,Full Shot,Extreme Close Shot
48,3234,01:47.8,107.767,3277,01:49.2,109.233,44,00:01.5,1.467,Static,Extreme Close Shot,Close Shot
49,3279,01:49.3,109.267,3486,01:56.2,116.2,208,00:06.9,6.933,Static,Extreme Close Shot,Medium Shot
50,3488,01:56.2,116.233,3604,02:00.1,120.133,117,00:03.9,3.9,Static,Extreme Close Shot,Close Shot
51,3606,02:00.2,120.167,3635,02:01.2,121.167,30,00:01.0,1,Static,Medium Shot,Extreme Close Shot
52,3637,02:01.2,121.2,3682,02:02.7,122.733,46,00:01.5,1.533,Static,Medium Shot,Close Shot
53,3684,02:02.8,122.767,3715,02:03.8,123.833,32,00:01.1,1.067,Static,Medium Shot,Close Shot
54,3717,02:03.9,123.867,3783,02:06.1,126.1,67,00:02.2,2.233,Static,Medium Shot,Extreme Close Shot
55,3785,02:06.1,126.133,3858,02:08.6,128.6,74,00:02.5,2.467,Static,Medium Shot,Close Shot
56,3860,02:08.6,128.633,3918,02:10.6,130.6,59,00:02.0,1.967,Static,Close Shot,Extreme Close Shot
57,3920,02:10.6,130.633,3967,02:12.2,132.233,48,00:01.6,1.6,Static,Extreme Close Shot,Close Shot
58,3969,02:12.3,132.267,4113,02:17.1,137.1,145,00:04.8,4.833,Static,Extreme Close Shot,Close Shot
59,4115,02:17.1,137.133,4163,02:18.8,138.767,49,00:01.6,1.633,Static,Extreme Close Shot,Close Shot
60,4165,02:18.8,138.8,4245,02:21.5,141.5,81,00:02.7,2.7,Static,Extreme Close Shot,Medium Shot
61,4247,02:21.5,141.533,4293,02:23.1,143.1,47,00:01.6,1.567,Static,Extreme Close Shot,Close Shot
62,4295,02:23.1,143.133,4354,02:25.1,145.133,60,00:02.0,2,Static,Extreme Close Shot,Medium Shot
63,4356,02:25.2,145.167,4419,02:27.3,147.3,64,00:02.1,2.133,Static,Extreme Close Shot,Close Shot
64,4421,02:27.3,147.333,4555,02:31.8,151.833,135,00:04.5,4.5,Static,Extreme Close Shot,Close Shot
65,4557,02:31.9,151.867,4602,02:33.4,153.4,46,00:01.5,1.533,Static,Long Shot,-1
