Shot Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),mv,scale,scale_manual
1,1,00:00.0,0,95,00:03.2,3.167,95,00:03.2,3.167,Static,Full Shot,Close Shot
2,97,00:03.2,3.2,157,00:05.2,5.233,61,00:02.0,2.033,Static,Close Shot,Close Shot
3,159,00:05.3,5.267,238,00:07.9,7.933,80,00:02.7,2.667,Static,Extreme Close Shot,Extreme Close Shot
4,240,00:08.0,7.967,383,00:12.8,12.767,144,00:04.8,4.8,Static,Extreme Close Shot,Full Shot
5,385,00:12.8,12.8,450,00:15.0,15,66,00:02.2,2.2,Static,Extreme Close Shot,Medium Shot
6,452,00:15.0,15.033,554,00:18.5,18.467,103,00:03.4,3.433,Static,Extreme Close Shot,Close Shot
7,556,00:18.5,18.5,815,00:27.2,27.167,260,00:08.7,8.667,Static,Extreme Close Shot,Medium Shot
8,817,00:27.2,27.2,1010,00:33.7,33.667,194,00:06.5,6.467,Static,Extreme Close Shot,Close Shot
9,1012,00:33.7,33.7,1058,00:35.3,35.267,47,00:01.6,1.567,Static,Extreme Close Shot,Close Shot
10,1060,00:35.3,35.3,1122,00:37.4,37.4,63,00:02.1,2.1,Static,Extreme Close Shot,Close Shot
11,1124,00:37.4,37.433,1182,00:39.4,39.4,59,00:02.0,1.967,Static,Extreme Close Shot,Extreme Close Shot
12,1184,00:39.4,39.433,1229,00:41.0,40.967,46,00:01.5,1.533,Static,Extreme Close Shot,Close Shot
13,1231,00:41.0,41,1439,00:48.0,47.967,209,00:07.0,6.967,Static,Extreme Close Shot,Close Shot
14,1441,00:48.0,48,1702,00:56.7,56.733,262,00:08.7,8.733,Static,Medium Shot,Close Shot
15,1704,00:56.8,56.767,1786,00:59.5,59.533,83,00:02.8,2.767,Static,Extreme Close Shot,Medium Shot
16,1788,00:59.6,59.567,1827,01:00.9,60.9,40,00:01.3,1.333,Static,Medium Shot,Close Shot
17,1829,01:00.9,60.933,1896,01:03.2,63.2,68,00:02.3,2.267,Static,Extreme Close Shot,Extreme Close Shot
18,1898,01:03.2,63.233,2037,01:07.9,67.9,140,00:04.7,4.667,Static,Extreme Close Shot,Close Shot
19,2039,01:07.9,67.933,2188,01:12.9,72.933,150,00:05.0,5,Static,Extreme Close Shot,Medium Shot
20,2190,01:13.0,72.967,2244,01:14.8,74.8,55,00:01.8,1.833,Static,Extreme Close Shot,Close Shot
21,2246,01:14.8,74.833,2336,01:17.9,77.867,91,00:03.0,3.033,Static,Extreme Close Shot,Close Shot
22,2338,01:17.9,77.9,2373,01:19.1,79.1,36,00:01.2,1.2,Static,Extreme Close Shot,Extreme Close Shot
23,2375,01:19.1,79.133,2447,01:21.6,81.567,73,00:02.4,2.433,Static,Extreme Close Shot,Close Shot
24,2449,01:21.6,81.6,2478,01:22.6,82.6,30,00:01.0,1,Static,Extreme Close Shot,Medium Shot
25,2480,01:22.6,82.633,2554,01:25.1,85.133,75,00:02.5,2.5,Static,Extreme Close Shot,Close Shot
26,2556,01:25.2,85.167,2679,01:29.3,89.3,124,00:04.1,4.133,Static,Extreme Close Shot,Medium Shot
27,2681,01:29.3,89.333,2797,01:33.2,93.233,117,00:03.9,3.9,Static,Medium Shot,Close Shot
28,2799,01:33.3,93.267,2866,01:35.5,95.533,68,00:02.3,2.267,Static,Extreme Close Shot,Medium Shot
29,2868,01:35.6,95.567,2999,01:40.0,99.967,132,00:04.4,4.4,Static,Extreme Close Shot,Close Shot
