Shot Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),mv,scale,scale_manual
1,1,00:00.0,0,61,00:02.0,2.033,61,00:02.0,2.033,Motion,Full Shot,-1
2,63,00:02.1,2.067,130,00:04.3,4.333,68,00:02.3,2.267,Static,Extreme Close Shot,-1
3,132,00:04.4,4.367,205,00:06.8,6.833,74,00:02.5,2.467,Static,Long Shot,-1
4,207,00:06.9,6.867,331,00:11.0,11.033,125,00:04.2,4.167,Static,Extreme Close Shot,Close Shot
5,333,00:11.1,11.067,404,00:13.5,13.467,72,00:02.4,2.4,Static,Extreme Close Shot,Extreme Close Shot
6,406,00:13.5,13.5,498,00:16.6,16.6,93,00:03.1,3.1,Static,Full Shot,Close Shot
7,500,00:16.6,16.633,771,00:25.7,25.7,272,00:09.1,9.067,Static,Extreme Close Shot,Medium Shot
8,773,00:25.7,25.733,998,00:33.3,33.267,226,00:07.5,7.533,Static,Extreme Close Shot,Close Shot
9,1000,00:33.3,33.3,1211,00:40.4,40.367,212,00:07.1,7.067,Static,Extreme Close Shot,Medium Shot
10,1213,00:40.4,40.4,1335,00:44.5,44.5,123,00:04.1,4.1,Static,Extreme Close Shot,Close Shot
11,1337,00:44.5,44.533,1487,00:49.6,49.567,151,00:05.0,5.033,Static,Extreme Close Shot,Medium Shot
12,1489,00:49.6,49.6,1605,00:53.5,53.5,117,00:03.9,3.9,Static,Extreme Close Shot,Medium Shot
13,1607,00:53.5,53.533,1653,00:55.1,55.1,47,00:01.6,1.567,Static,Close Shot,Extreme Close Shot
14,1655,00:55.1,55.133,1726,00:57.5,57.533,72,00:02.4,2.4,Static,Extreme Close Shot,Medium Shot
15,1728,00:57.6,57.567,1846,01:01.5,61.533,119,00:04.0,3.967,Static,Extreme Close Shot,Close Shot
16,1848,01:01.6,61.567,1960,01:05.3,65.333,113,00:03.8,3.767,Static,Extreme Close Shot,Close Shot
17,1962,01:05.4,65.367,2175,01:12.5,72.5,214,00:07.1,7.133,Static,Full Shot,Close Shot
18,2177,01:12.5,72.533,2248,01:14.9,74.933,72,00:02.4,2.4,Static,Extreme Close Shot,Close Shot
19,2250,01:15.0,74.967,2355,01:18.5,78.5,106,00:03.5,3.533,Static,Full Shot,Extreme Close Shot
20,2357,01:18.5,78.533,2431,01:21.0,81.033,75,00:02.5,2.5,Static,Extreme Close Shot,Close Shot
21,2433,01:21.1,81.067,2639,01:28.0,87.967,207,00:06.9,6.9,Static,Full Shot,Close Shot
22,2641,01:28.0,88,2821,01:34.0,94.033,181,00:06.0,6.033,Static,Close Shot,Medium Shot
23,2823,01:34.1,94.067,3016,01:40.5,100.533,194,00:06.5,6.467,Static,Extreme Close Shot,Close Shot
24,3018,01:40.6,100.567,3188,01:46.3,106.267,171,00:05.7,5.7,Static,Full Shot,Close Shot
25,3190,01:46.3,106.3,3404,01:53.5,113.467,215,00:07.2,7.167,Static,Long Shot,Close Shot
26,3406,01:53.5,113.5,3502,01:56.7,116.733,97,00:03.2,3.233,Static,Full Shot,Close Shot
27,3504,01:56.8,116.767,3737,02:04.6,124.567,234,00:07.8,7.8,Static,Extreme Close Shot,Close Shot
28,3739,02:04.6,124.6,3912,02:10.4,130.4,174,00:05.8,5.8,Static,Full Shot,Medium Shot
29,3914,02:10.4,130.433,4092,02:16.4,136.4,179,00:06.0,5.967,Static,Full Shot,Medium Shot
30,4094,02:16.4,136.433,4193,02:19.8,139.767,100,00:03.3,3.333,Static,Extreme Close Shot,Close Shot
